city,room_type,avg_price,avg_satisfaction,total_listings
amsterdam,Entire home/apt,734.7,95.41,1126
amsterdam,Private room,383.47,93.46,944
amsterdam,Shared room,280.9,92.8,10
athens,Entire home/apt,155.08,95.16,4872
athens,Private room,112.84,93.14,397
athens,Shared room,78.61,92.09,11
barcelona,Entire home/apt,629.86,89.23,542
barcelona,Private room,214.71,91.57,2279
barcelona,Shared room,124.07,89.33,12
berlin,Entire home/apt,363.21,93.99,882
berlin,Private room,180.52,94.71,1529
berlin,Shared room,153.19,90.25,73
budapest,Entire home/apt,184.57,94.74,3589
budapest,Private room,109.14,93.17,419
budapest,Shared room,126.83,97.57,14
lisbon,Entire home/apt,282.5,91.62,3878
lisbon,Private room,148.9,90.2,1811
lisbon,Shared room,103.06,85.15,74
london,Entire home/apt,544.7,89.38,4384
london,Private room,220.4,91.67,5559
london,Shared room,179.82,88.7,50
paris,Entire home/apt,425.11,91.95,5067
paris,Private room,299.22,92.31,1527
paris,Shared room,152.36,92.12,94
rome,Entire home/apt,240.78,93.51,5561
rome,Private room,148.79,92.51,3454
rome,Shared room,96.73,87.42,12
vienna,Entire home/apt,256.56,93.63,2747
vienna,Private room,190.43,94.22,774
vienna,Shared room,145.25,88.12,16
